ID,Decision,Build_Selfcon,Tier,Marital_Status,Employer_Type,OldEmi_d,BankSave_d,Age,YrsAdd,YrsJob,TotInc,MarVal,LoanReq,Term,CalcEmi,IIR,IAR,OldEmi,LTV,FOIR
DEL-8U80-852828,1,Self Contruction,1,Married,Business,0,0,41,2,23,29314,1000000,800000,180,12312.03027,42.00051263,57.00014015,0,80,42.00051263
DEL-DFYP-642294,1,Self Contruction,1,Married,Govt,0,0,50,16,25,34545,1000000,800000,108,14508.9502,42.0001453,67.00046269,0,80,42.0001453
DEL-G4M1-533140,1,Self Contruction,1,Married,Govt,0,0,52,15,26,21089,1111111,500000,108,9068.089844,42.99914573,90.99939632,0,45.0000045,42.99914573
DEL-0M30-561836,1,Self Contruction,1,Married,Business,0,0,34,25,7,39716,1194030,800000,180,12312.03027,31.00017694,62.99969438,0,66.99999163,31.00017694
DEL-R19O-842814,1,Self Contruction,1,Married,Business,1,0,33,8,12,42750,1470588,1000000,180,15390.04004,36.00009366,54.00014049,1800,68.00001088,40.21061997
DEL-0Y83-610086,1,Self Contruction,1,Married,Business,0,0,37,18,11,34200,1095890,800000,180,12312.03027,36.00008852,67.00060009,0,73.00002738,36.00008852
DEL-398N-883495,1,Self Contruction,1,Married,Business,0,0,41,20,0,38475,2000000,1000000,180,15390.04004,40.00010407,69.99927244,0,50,40.00010407
DEL-ESO4-534836,1,Self Contruction,1,Married,Govt,0,0,39,33,13,16728,1250000,500000,180,7695.02002,46.00083704,89.00092551,0,40,46.00083704
DEL-47M5-576652,0,Self Contruction,1,Married,Business,0,0,39,8,10,17000,250000,250000,180,3847.51001,22.63241182,46.35554229,0,100,22.63241182
DEL-N464-747598,0,Self Contruction,1,Married,Business,0,0,39,30,10,52385,187500,300000,60,8285.669922,15.81687491,20.44077938,0,160,15.81687491
DEL-Z4T5-771898,1,Self Contruction,1,Married,Business,0,0,37,7,10,17895,806452,500000,180,7695.02002,43.0009501,76.00019772,0,61.99997024,43.0009501
DEL-9NY6-998489,1,Self Contruction,1,Married,Corporate,0,0,32,5,6,25558,806452,500000,120,8689.879883,34.00062557,81.00186319,0,61.99997024,34.00062557
DEL-855E-664454,1,Self Contruction,1,Unmarried,Corporate,0,0,26,16,5,23863,1923077,500000,108,9068.089844,38.00062793,74.99867541,0,25.99999896,38.00062793
DEL-N7P5-660637,1,Self Contruction,1,Married,Corporate,0,0,40,1,2,32015,1428571,700000,120,12165.83984,38.00043681,66.00032466,0,49.0000147,38.00043681
DEL-2J4D-725625,0,Self Contruction,1,Married,Ind/SmallBus,1,0,43,30,6,25000,1200000,800000,180,12312.03027,49.24812109,63.79290297,1995,66.66666667,57.22812109
DEL-U24G-740716,1,Self Contruction,1,Married,Corporate,0,0,36,10,10,29583,1000000,800000,120,13903.80957,46.99932248,81.00092963,0,80,46.99932248
DEL-7576-501826,0,Self Contruction,1,Married,Business,0,0,37,15,15,29000,1215750,600000,180,9234.030273,31.8414837,48.986898,0,49.3522517,31.8414837
DEL-XX55-671816,1,Self Contruction,1,Married,Business,0,0,31,5,15,37537,2702703,1000000,180,15390.04004,40.99965378,52.00040559,0,36.99999593,40.99965378
DEL-6VKF-868828,1,Self Contruction,1,Married,Business,0,0,31,3,10,18321,909091,500000,180,7695.02002,42.00109175,83.00097098,0,54.9999945,42.00109175
DEL-7O44-733976,0,Self Contruction,1,Married,Business,0,0,54,27,18,40000,625000,500000,120,8689.879883,21.72469971,26.94536398,0,80,21.72469971
DEL-4711-681535,1,Self Contruction,1,Married,Govt,0,0,52,10,27,36208,1492537,1000000,120,17379.76953,47.99980538,66.99988254,0,67.00001407,47.99980538
DEL-C15F-944330,1,Self Contruction,1,Married,Corporate,0,0,34,2,5,26137,997750,798200,180,12284.33008,46.99977074,91.00177849,0,80,46.99977074
DEL-1MDW-909165,1,Self Contruction,1,Unmarried,Corporate,1,0,33,15,2,45555,2312500,740000,180,11388.62988,24.99973632,45.00011808,11348,32,49.91028401
DEL-JWZO-897669,1,Self Contruction,1,Married,Ind/SmallBus,0,0,33,1,1,17100,1315789,500000,180,7695.02002,45.00011707,85.99709454,0,38.00001368,45.00011707
DEL-X82M-894524,1,Self Contruction,1,Married,Corporate,0,0,55,7,1,38622,1194030,800000,120,13903.80957,35.99971408,42.0003914,0,66.99999163,35.99971408
DEL-3ELI-794652,0,Self Contruction,1,Married,Govt,0,0,38,1,5,26168,1200000,800000,180,12312.03027,47.04994754,73.20745792,0,66.66666667,47.04994754
DEL-V4NG-537393,1,Self Contruction,1,Married,Business,0,0,44,5,25,45600,1095890,800000,180,12312.03027,27.00006639,46.00048673,0,73.00002738,27.00006639
DEL-X61B-585617,1,Self Contruction,1,Married,Govt,0,0,42,35,6,23420,1372549,700000,180,10773.03027,45.99927529,85.00102788,0,51.00000073,45.99927529
DEL-HFD7-831338,1,Self Contruction,1,Married,Business,1,0,34,1,10,47354,2285714,800000,180,12312.03027,25.99997946,41.00046713,6028,35.00000438,38.72963271
DEL-RM3M-957931,1,Self Contruction,1,Married,Business,0,0,34,1,24,30029,1095890,800000,180,12312.03027,41.00046713,81.00019917,0,73.00002738,41.00046713
DEL-759S-826894,1,Self Contruction,1,Married,Business,0,0,31,1,15,46277,1636364,540000,60,13420.38965,29.00012889,43.00028724,0,32.99999267,29.00012889
DEL-9VHJ-537293,0,Self Contruction,1,Unmarried,Business,0,0,28,8,8,35177,1290323,800000,180,12312.03027,35.0002282,46.00048673,0,61.99997985,35.0002282
DEL-55R6-790059,1,Self Contruction,1,Married,Business,0,0,36,2,10,42455,1000000,800000,180,12312.03027,29.00018908,62.99969438,0,80,29.00018908
DEL-5K1Y-756568,0,Self Contruction,1,Married,Business,0,0,31,6,12,30177,1612903,1000000,180,15390.04004,50.99923796,77.00025036,0,62.00000868,50.99923796
DEL-NB2B-791400,1,Self Contruction,1,Married,Corporate,0,0,37,15,4,29857,1492308,970000,180,14928.33984,49.99946359,70.99942853,0,64.9999866,49.99946359
DEL-1817-658441,1,Self Contruction,1,Married,Corporate,0,0,39,10,2,28633,1194030,800000,180,12312.03027,42.99944216,86.00188791,0,66.99999163,42.99944216
DEL-5POA-884425,1,Self Contruction,1,Unmarried,Corporate,0,0,27,2,1,23677,800000,600000,180,9234.030273,39.00000115,57.99905957,0,75,39.00000115
DEL-WB1X-995531,0,Self Contruction,1,Married,Business,0,0,34,5,10,28856,789474,300000,180,4617.009766,16.00017246,18.00003807,0,37.9999848,16.00017246
DEL-4003-894551,1,Self Contruction,1,Married,Corporate,0,0,50,1,6,21747,1000000,650000,180,10003.53027,45.99958741,66.99839444,0,65,45.99958741
DEL-ZD15-746468,1,Self Contruction,1,Married,Ind/SmallBus,0,0,32,5,5,35177,1012658,800000,180,12312.03027,35.0002282,54.00013278,0,79.00001778,35.0002282
DEL-2W7T-909487,1,Self Contruction,1,Married,Business,0,0,39,4,12,22632,806452,250000,180,3847.51001,17.00030934,34.00061868,0,30.99998512,17.00030934
DEL-7DV3-720370,1,Self Contruction,1,Married,Ind/SmallBus,0,0,29,1,1,32212,1578947,900000,180,13851.04004,42.99962759,97.00287162,0,57.0000133,42.99962759
DEL-SQ6A-981423,0,Self Contruction,1,Married,Business,0,0,31,4,10,18000,600000,600000,180,9234.030273,51.30016819,74.46798608,0,100,51.30016819
DEL-SR56-857456,1,Self Contruction,1,Married,Corporate,1,0,41,10,0,33601,1200800,960640,180,14784.29004,43.9995537,84.00164795,1697,80,49.04999863
DEL-9736-681193,1,Self Contruction,1,Married,Ind/SmallBus,0,0,42,18,6,35177,1250000,800000,180,12312.03027,35.0002282,51.99995892,0,64,35.0002282
DEL-Q98E-878509,1,Self Contruction,1,Married,Govt,1,0,34,5,28,55757,1490909,820000,144,13381.76953,24.00016057,52.99920603,14168,55.00000335,49.41042296
DEL-3851-539760,1,Self Contruction,1,Unmarried,Corporate,0,0,25,2,5,24982,872500,698000,180,10742.25,42.99995997,69.00211973,0,80,42.99995997
